,fors2name,zobs,Nc,Ns,Nm,funcmin_c,funcmin_m,funcmin_s,MAH_lgmO,MAH_logtc,MAH_early_index,MAH_late_index,MS_lgmcrit,MS_lgy_at_mcrit,MS_indx_lo,MS_indx_hi,MS_tau_dep,Q_lg_qt,Q_qlglgdt,Q_lg_drop,Q_lg_rejuv,AV,UV_BUMP,PLAW_SLOPE,LGMET,LGMETSCATTER
71,SPEC258,0.62766,1270,1261,9,985114.0665528848,8822.34251472099,1961405.7905910485,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
72,SPEC259,0.46659,1340,1331,9,2030532.2427456037,4833.795665406774,4056230.6898258007,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
73,SPEC260,0.83528,1110,1101,9,221129.79584927205,3236.7193572333194,439022.8723413108,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
74,SPEC261,0.62748,1118,1110,8,111731.3851764702,1691.2477806385418,221771.52257230185,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
75,SPEC262,0.50304,888,879,9,94578410.83594576,1441.0095777545923,189155380.66231376,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
76,SPEC264,0.43551,1243,1235,8,8824692.006435743,411.88176964044544,17648972.131101843,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
77,SPEC265,1.30353,1145,1136,9,10332021.810240429,15045.028475532594,20648998.592005324,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
78,SPEC266,0.68301,1317,1308,9,49278260.22183458,3686.3075918360905,98552834.13607731,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
79,SPEC267,0.96102,1154,1145,9,497261.5516340164,12182.559263247786,982340.544004785,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
80,SPEC268,1.02295,1154,1145,9,283239.78073169757,9173.228596629422,557306.3328667657,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
81,SPEC271,0.8201,1316,1308,8,5534360.029126163,23142.77083857848,11045577.287413746,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
82,SPEC274,0.18345,1333,1324,9,3167681.1605494986,175.53330410628092,6335186.787794891,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
83,SPEC275,0.98627,1735,1727,8,3696096.7928152457,9857.574341148294,7382336.011289343,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
84,SPEC276,0.8284,1756,1747,9,31319856.775149837,2743.8286063580235,62636969.721693315,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
85,SPEC277,0.82612,1496,1487,9,621612.2985457794,1364.3599525536454,1241860.2371390052,13.80965070678039,0.01,0.1,0.1,13.0,-0.7,1.0150424970981327,-0.7499091331639721,2.7672987744064184,1.0,-0.50725,-1.01773,-0.212307,2.1116063206951177,1.0,-0.35,-4.075154990209604,0.10494140429955336
86,SPEC278,0.8248,1428,1419,9,342587.5862364904,1695.5016349518926,683479.6708380289,14.0,0.01,0.1,0.6298072231131419,12.867384587264233,-0.7,0.7000610471705028,-0.7,2.0181817214641145,1.0,-0.50725,-1.01773,-0.212307,2.436442791624902,1.0003734010049312,-0.35,-3.942983082329115,0.1
