,fors2name,zobs,Nc,Ns,Nm,funcmin_c,funcmin_m,funcmin_s,MAH_lgmO,MAH_logtc,MAH_early_index,MAH_late_index,MS_lgmcrit,MS_lgy_at_mcrit,MS_indx_lo,MS_indx_hi,MS_tau_dep,Q_lg_qt,Q_qlglgdt,Q_lg_drop,Q_lg_rejuv,AV,UV_BUMP,PLAW_SLOPE,SCALEF
57,SPEC123,0.64035,1147,1138,9,1201863.0767457346,1173.2783640972823,2402552.875127372,14.0,0.060000000000000005,4.0,0.5365227104508045,12.25,-0.75,0.75,-0.75,2.191594296680831,1.1,-0.60725,-0.91773,-0.212307,0.3538853956948573,1.0,-0.2867314005475857,1.0
58,SPEC127,0.5583,1301,1293,8,27864.826865544,80.53812184418334,55649.11560924382,12.548840872054308,0.060000000000000005,4.0,1.5,12.25,-0.75,1.25,-1.25,2.25,1.1,-0.60725,-0.91773,-0.212307,0.6018293967691342,3.0,0.0,1.0
59,SPEC128,0.18642,1246,1237,9,312684.8752877685,116.48611054783859,625253.2644649892,11.8357528614206,0.060000000000000005,4.0,1.5,11.901705618118925,-1.1815334640047812,1.25,-1.25,1.9692478171892596,0.9427011074614622,-0.4917328692328344,-1.1177300000000001,-0.11230699999999999,0.0,3.0,0.0,1.0
60,SPEC132,0.2934,904,895,9,1231483.3455875602,316.85620354078685,2462649.8349715797,13.910347103737838,0.059282143283447046,3.998145960896308,0.6274604512380496,11.753488131861438,-0.8724817026001698,0.7572771118168032,-1.053659054463276,2.25,1.1,-0.60725,-0.91773,-0.11230699999999999,0.0,1.0,0.0,1.0
61,SPEC134,0.4191,1349,1340,9,1467931.564452174,22874.97801808085,2912988.150886267,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
62,SPEC135,0.69039,1080,1071,9,88220.31373123227,1031.1625341261085,175409.46492833842,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.1,-0.60725,-0.91773,-0.212307,0.5821116240013133,1.0,-0.35,1.0
63,SPEC137,0.29502,1123,1114,9,1412449.3821122604,1888.426549224428,2823010.3376752962,12.083653897668864,0.051572974818731694,3.9883003267930377,1.055636361555514,11.750535001086496,-1.2494919960468027,0.9771305218083518,-1.1187156460833532,2.249999996305947,1.1,-0.60725,-0.91773,-0.11230699999999999,0.002960319656026147,1.0000410714338783,-6.680622829671207e-05,1.0
64,SPEC138,0.55962,1382,1373,9,469575.5575104109,171.49961637449292,938979.6154044473,12.700138677351642,0.060000000000000005,4.0,1.5,12.25,-0.75,1.25,-0.75,1.75,1.1,-0.60725,-0.91773,-0.212307,0.43669796662713006,3.0,-0.35,1.0
65,SPEC141,0.29477,1228,1219,9,822118.9091600727,1245.4539398293134,1642992.364380316,13.997549443641248,0.060000000000000005,1.0,1.5,11.75,-1.25,0.75,-1.1922700951219907,2.25,1.1,-0.60725,-0.91773,-0.11230699999999999,0.0,1.0,0.0,1.0
66,SPEC149,0.43607,1377,1368,9,705984.3921437383,10712.398750346165,1401256.3855371305,13.236198568399464,0.060000000000000005,1.0000864124644537,1.5,11.751976226125416,-1.2473776141023922,0.8157416755497447,-0.7596092464301857,2.249986669331457,1.1,-0.60725,-0.91773,-0.212307,0.0,1.2922480771759193,0.0,1.0
